topic_name|topic_url|course_name
logistic regression|http://dbpedia.org/resource/Logistic_regression|Machine Learning
decision trees|http://dbpedia.org/resource/Decision_tree_learning|Machine Learning
neural networks|http://dbpedia.org/resource/Artificial_neural_network|Machine Learning
Support vector machines|http://dbpedia.org/resource/Support_vector_machine|Machine Learning
Computational learning theory|http://dbpedia.org/resource/Computational_learning_theory|Machine Learning
deep belief networks|http://dbpedia.org/resource/Deep_belief_network|Machine Learning
Unsupervised learning|http://dbpedia.org/resource/Unsupervised_learning|Machine Learning
k-means|http://dbpedia.org/resource/K-means_clustering|Machine Learning
expectation maximization|http://dbpedia.org/resource/Expectation–maximization_algorithm|Machine Learning
principle component analysis|http://dbpedia.org/resource/Principal_component_analysis|Machine Learning
dimensionality reduction|http://dbpedia.org/resource/Dimensionality_reduction|Machine Learning
dynamical systems|http://dbpedia.org/resource/Dynamical_system|Machine Learning
Markov|http://dbpedia.org/resource/Hidden_Markov_model|Machine Learning
Reinforcement learning|http://dbpedia.org/resource/Reinforcement_learning|Machine Learning
computer|http://dbpedia.org/resource/Computer_science|Advanced Game Development
Game engine|http://dbpedia.org/resource/Game_engine|Advanced Game Development
Artificial Intelligence|http://dbpedia.org/resource/Artificial_intelligence|Advanced Game Development
AI|http://dbpedia.org/resource/Artificial_intelligence|Advanced Game Development
player character|http://dbpedia.org/resource/Player_character|Advanced Game Development
pathfinding|http://dbpedia.org/resource/Pathfinding|Advanced Game Development
collision detection|http://dbpedia.org/resource/Collision_detection|Advanced Game Development
mobile gaming|http://dbpedia.org/resource/Mobile_game|Advanced Game Development
realism|http://dbpedia.org/resource/Philosophical_realism|Advanced Game Development
3D|http://dbpedia.org/resource/3D_computer_graphics|Advanced Game Development
Computer Vision|http://dbpedia.org/resource/Computer_vision|Computer Vision
computer vision|http://dbpedia.org/resource/Computer_vision|Computer Vision
perceptual organization|http://dbpedia.org/resource/Perception|Computer Vision
OpenCV|http://dbpedia.org/resource/OpenCV|Computer Vision
COMP|http://dbpedia.org/resource/College_of_Osteopathic_Medicine_of_the_Pacific|Computer Vision
numerical methods|http://dbpedia.org/resource/Numerical_analysis|Topics in Scientific Computation
scientific computation|http://dbpedia.org/resource/Computational_science|Topics in Scientific Computation
nonlinear|http://dbpedia.org/resource/Nonlinear_system|Topics in Scientific Computation
ordinary differential equations|http://dbpedia.org/resource/Ordinary_differential_equation|Topics in Scientific Computation
finite difference method|http://dbpedia.org/resource/Finite_difference_method|Topics in Scientific Computation
numerical stability|http://dbpedia.org/resource/Numerical_stability|Topics in Scientific Computation
collocation|http://dbpedia.org/resource/Collocation_method|Topics in Scientific Computation
partial differential equations|http://dbpedia.org/resource/Partial_differential_equation|Topics in Scientific Computation
diffusion|http://dbpedia.org/resource/Diffusion_equation|Topics in Scientific Computation
Numerical Analysis|http://dbpedia.org/resource/Numerical_analysis|Numerical Analysis of Nonlinear Equations
nonlinear|http://dbpedia.org/resource/Nonlinear_system|Numerical Analysis of Nonlinear Equations
numerical analysis|http://dbpedia.org/resource/Numerical_analysis|Numerical Analysis of Nonlinear Equations
numerical simulation|http://dbpedia.org/resource/Computer_simulation|Numerical Analysis of Nonlinear Equations
homotopy|http://dbpedia.org/resource/Homotopy|Numerical Analysis of Nonlinear Equations
asymptotic stability|http://dbpedia.org/resource/Lyapunov_stability|Numerical Analysis of Nonlinear Equations
travelling wave|http://dbpedia.org/resource/Wave|Numerical Analysis of Nonlinear Equations
discretization|http://dbpedia.org/resource/Discretization|Numerical Analysis of Nonlinear Equations
digital geometry|http://dbpedia.org/resource/Digital_geometry|Digital Geometric Modelling
pipeline|http://dbpedia.org/resource/Graphics_pipeline|Digital Geometric Modelling
digital|http://dbpedia.org/resource/Digital_electronics|Digital Geometric Modelling
3D|http://dbpedia.org/resource/3D_modeling|Digital Geometric Modelling
geometry|http://dbpedia.org/resource/Geometry|Digital Geometric Modelling
wide range|http://dbpedia.org/resource/Fender_Wide_Range|Digital Geometric Modelling
computer-aided design|http://dbpedia.org/resource/Computer-aided_design|Digital Geometric Modelling
reverse engineering|http://dbpedia.org/resource/Reverse_engineering|Digital Geometric Modelling
triangle|http://dbpedia.org/resource/Computer_graphics|Digital Geometric Modelling
triangle mesh|http://dbpedia.org/resource/Triangle_mesh|Digital Geometric Modelling
spline|http://dbpedia.org/resource/Flat_spline|Digital Geometric Modelling
dynamic typing|http://dbpedia.org/resource/Type_system|Comparative Study of Programming Languages
lexical analysis|http://dbpedia.org/resource/Lexical_analysis|Compiler Design
parsing|http://dbpedia.org/resource/Parsing|Compiler Design
code optimization|http://dbpedia.org/resource/Program_optimization|Compiler Design
error detection|http://dbpedia.org/resource/Error_detection_and_correction|Computer Networks and Protocols
flow control|http://dbpedia.org/resource/Control_flow|Computer Networks and Protocols
Packet switching|http://dbpedia.org/resource/Packet_switching|Computer Networks and Protocols
Internet Protocol|http://dbpedia.org/resource/Internet_Protocol|Computer Networks and Protocols
IPv6|http://dbpedia.org/resource/IPv6|Computer Networks and Protocols
multicasting|http://dbpedia.org/resource/Multicast|Computer Networks and Protocols
UDP|http://dbpedia.org/resource/User_Datagram_Protocol|Computer Networks and Protocols
TCP|http://dbpedia.org/resource/Transmission_Control_Protocol|Computer Networks and Protocols
Network security|http://dbpedia.org/resource/Network_security|Computer Networks and Protocols
Query processing|http://dbpedia.org/resource/Query_optimization|Advanced Database Technology and Applications
optimization|http://dbpedia.org/resource/Query_optimization|Advanced Database Technology and Applications
Information integration|http://dbpedia.org/resource/Information_integration|Advanced Database Technology and Applications
Data warehouse|http://dbpedia.org/resource/Data_warehouse|Advanced Database Technology and Applications
Data mining|http://dbpedia.org/resource/Data_mining|Advanced Database Technology and Applications
OLAP|http://dbpedia.org/resource/Online_analytical_processing|Advanced Database Technology and Applications
XML|http://dbpedia.org/resource/XML|Advanced Database Technology and Applications
multimedia|http://dbpedia.org/resource/Multimedia|Advanced Database Technology and Applications
data management|http://dbpedia.org/resource/Data_management|Advanced Database Technology and Applications
Semantic Web|http://dbpedia.org/resource/Semantic_Web|Foundations of the Semantic Web
World Wide Web Consortium (W3C)|http://dbpedia.org/resource/World_Wide_Web_Consortium|Foundations of the Semantic Web
Extensible Markup Language (XML)|http://dbpedia.org/resource/XML|Foundations of the Semantic Web
Resource Description Framework (RDF)|http://dbpedia.org/resource/Resource_Description_Framework|Foundations of the Semantic Web
schema|http://dbpedia.org/resource/XML_schema|Foundations of the Semantic Web
ontology|http://dbpedia.org/resource/Ontology_engineering|Foundations of the Semantic Web
ontologies|http://dbpedia.org/resource/Ontology|Foundations of the Semantic Web
Web Ontology Language (OWL)|http://dbpedia.org/resource/Web_Ontology_Language|Foundations of the Semantic Web
first-order logic|http://dbpedia.org/resource/First-order_logic|Introduction to Knowledge-Base Systems
relational algebra|http://dbpedia.org/resource/Relational_algebra|Introduction to Knowledge-Base Systems
relational calculus|http://dbpedia.org/resource/Relational_calculus|Introduction to Knowledge-Base Systems
logic programming|http://dbpedia.org/resource/Logic_programming|Introduction to Knowledge-Base Systems
knowledge representation|http://dbpedia.org/resource/Knowledge_representation_and_reasoning|Introduction to Knowledge-Base Systems
Discrete Mathematics|http://dbpedia.org/resource/Discrete_mathematics|Discrete Mathematics of Paul Erdös
Computer Science|http://dbpedia.org/resource/Computer_science|Discrete Mathematics of Paul Erdös
theorem|http://dbpedia.org/resource/Theorem|Discrete Mathematics of Paul Erdös
Ramsey|http://dbpedia.org/resource/Ramsey_Abbey|Discrete Mathematics of Paul Erdös
Van|http://dbpedia.org/resource/Van|Discrete Mathematics of Paul Erdös
conjecture|http://dbpedia.org/resource/Conjecture|Discrete Mathematics of Paul Erdös
Extremal graph theory|http://dbpedia.org/resource/Extremal_graph_theory|Discrete Mathematics of Paul Erdös
Random graphs|http://dbpedia.org/resource/Random_graph|Discrete Mathematics of Paul Erdös
graph colouring|http://dbpedia.org/resource/Graph_coloring|Discrete Mathematics of Paul Erdös
probabilistic method|http://dbpedia.org/resource/Probabilistic_method|Discrete Mathematics of Paul Erdös
Mathematical modelling|http://dbpedia.org/resource/Mathematical_model|Large-Scale Optimization
optimization|http://dbpedia.org/resource/Mathematical_optimization|Large-Scale Optimization
non-linear programming|http://dbpedia.org/resource/Nonlinear_programming|Large-Scale Optimization
integer|http://dbpedia.org/resource/Integer|Large-Scale Optimization
nonlinear|http://dbpedia.org/resource/Nonlinear_system|Large-Scale Optimization
branch-and-bound|http://dbpedia.org/resource/Branch_and_bound|Large-Scale Optimization
DC|http://dbpedia.org/resource/Direct_current|Large-Scale Optimization
convex|http://dbpedia.org/resource/Convex_optimization|Large-Scale Optimization
bilinear|http://dbpedia.org/resource/Bilinear_form|Large-Scale Optimization
Heuristics|http://dbpedia.org/resource/Heuristic|Large-Scale Optimization
General|http://dbpedia.org/resource/History_of_economic_thought|Theory of Computation
Turing machines|http://dbpedia.org/resource/Turing_machine|Theory of Computation
Turing computable|http://dbpedia.org/resource/Computable_function|Theory of Computation
recursive functions|http://dbpedia.org/resource/Computable_function|Theory of Computation
theorem|http://dbpedia.org/resource/Theorem|Theory of Computation
Time|http://dbpedia.org/resource/Time|Theory of Computation
complexity measures|http://dbpedia.org/resource/Computational_complexity_theory|Theory of Computation
complexity theory|http://dbpedia.org/resource/Computational_complexity_theory|Theory of Computation
algorithm|http://dbpedia.org/resource/Algorithm|Algorithm Design Techniques
combinatorial|http://dbpedia.org/resource/Combinatorial_optimization|Algorithm Design Techniques
dynamic programming|http://dbpedia.org/resource/Dynamic_programming|Algorithm Design Techniques
branch-and-bound|http://dbpedia.org/resource/Branch_and_bound|Algorithm Design Techniques
graph|http://dbpedia.org/resource/Graph_theory|Algorithm Design Techniques
complexity analysis|http://dbpedia.org/resource/Analysis_of_algorithms|Algorithm Design Techniques
String matching|http://dbpedia.org/resource/String_searching_algorithm|Algorithm Design Techniques
NP-complete|http://dbpedia.org/resource/NP-completeness|Algorithm Design Techniques
combinatorial|http://dbpedia.org/resource/Combinatorics|Combinatorial Algorithms
combinatorics|http://dbpedia.org/resource/Combinatorics|Combinatorial Algorithms
graph theory|http://dbpedia.org/resource/Graph_theory|Combinatorial Algorithms
convex|http://dbpedia.org/resource/Convex_set|Computational Geometry
polygon triangulation|http://dbpedia.org/resource/Polygon_triangulation|Computational Geometry
point location|http://dbpedia.org/resource/Point_location|Computational Geometry
range searching|http://dbpedia.org/resource/Range_searching|Computational Geometry
Voronoi|http://dbpedia.org/resource/Voronoi_diagram|Computational Geometry
Delaunay|http://dbpedia.org/resource/Robert_Delaunay|Computational Geometry
triangulations|http://dbpedia.org/resource/Polygon_triangulation|Computational Geometry
robot|http://dbpedia.org/resource/Robotics|Computational Geometry
motion planning|http://dbpedia.org/resource/Motion_planning|Computational Geometry
binary|http://dbpedia.org/resource/Binary_number|Computational Geometry
plane sweep|http://dbpedia.org/resource/Sweep_line_algorithm|Computational Geometry
computer graphics|http://dbpedia.org/resource/Computer_graphics|Computational Geometry
computer aided design|http://dbpedia.org/resource/Computer-aided_design|Computational Geometry
mesh generation|http://dbpedia.org/resource/Mesh_generation|Computational Geometry
heuristic|http://dbpedia.org/resource/Heuristic|Applied Artificial Intelligence
automated reasoning|http://dbpedia.org/resource/Automated_reasoning|Applied Artificial Intelligence
knowledge representation|http://dbpedia.org/resource/Knowledge_representation_and_reasoning|Applied Artificial Intelligence
Artificial Intelligence|http://dbpedia.org/resource/Artificial_intelligence|Applied Artificial Intelligence
recurrent neural networks|http://dbpedia.org/resource/Recurrent_neural_network|Applied Artificial Intelligence
Pattern Recognition|http://dbpedia.org/resource/Pattern_recognition|Pattern Recognition
Feature extraction|http://dbpedia.org/resource/Feature_extraction|Pattern Recognition
Bayesian decision theory|http://dbpedia.org/resource/Bayes_estimator|Pattern Recognition
discriminant|http://dbpedia.org/resource/Discriminant|Pattern Recognition
Intelligent Systems|http://dbpedia.org/resource/Artificial_intelligence|Intelligent Systems
Knowledge representation|http://dbpedia.org/resource/Knowledge_representation_and_reasoning|Intelligent Systems
conflict resolution|http://dbpedia.org/resource/Conflict_resolution|Intelligent Systems
blackboard|http://dbpedia.org/resource/Blackboard|Intelligent Systems
natural language processing|http://dbpedia.org/resource/Natural-language_processing|Natural Language Analysis
English|http://dbpedia.org/resource/English_language|Natural Language Analysis
parsing|http://dbpedia.org/resource/Parsing|Natural Language Analysis
compositional semantics|http://dbpedia.org/resource/Principle_of_compositionality|Natural Language Analysis
text mining|http://dbpedia.org/resource/Text_mining|Natural Language Analysis
COMP|http://dbpedia.org/resource/College_of_Osteopathic_Medicine_of_the_Pacific|Natural Language Analysis
3D|http://dbpedia.org/resource/3D_modeling|Advanced 3D Graphics for Game Programming
software engineering|http://dbpedia.org/resource/Software_engineering|Advanced 3D Graphics for Game Programming
3D graphics|http://dbpedia.org/resource/3D_computer_graphics|Advanced 3D Graphics for Game Programming
application architecture|http://dbpedia.org/resource/Applications_architecture|Advanced 3D Graphics for Game Programming
pipeline|http://dbpedia.org/resource/Graphics_pipeline|Advanced 3D Graphics for Game Programming
occlusion culling|http://dbpedia.org/resource/Hidden_surface_determination|Advanced 3D Graphics for Game Programming
collision detection|http://dbpedia.org/resource/Collision_detection|Advanced 3D Graphics for Game Programming
photorealism|http://dbpedia.org/resource/Photorealism|Advanced 3D Graphics for Game Programming
physics|http://dbpedia.org/resource/Game_physics|Advanced 3D Graphics for Game Programming
image enhancement|http://dbpedia.org/resource/Digital_image_processing|Image Processing
histogram|http://dbpedia.org/resource/Histogram|Image Processing
frequency domain|http://dbpedia.org/resource/Frequency_domain|Image Processing
image segmentation|http://dbpedia.org/resource/Image_segmentation|Image Processing
Hough transform|http://dbpedia.org/resource/Hough_transform|Image Processing
edge detection|http://dbpedia.org/resource/Edge_detection|Image Processing
thresholding|http://dbpedia.org/resource/Thresholding_(image_processing)|Image Processing
image compression|http://dbpedia.org/resource/Image_compression|Image Processing
wavelet transform|http://dbpedia.org/resource/Wavelet_transform|Image Processing
natural language processing (NLP)|http://dbpedia.org/resource/Natural-language_processing|Statistical Natural Language Processing
statistical machine translation|http://dbpedia.org/resource/Statistical_machine_translation|Statistical Natural Language Processing
N-gram|http://dbpedia.org/resource/N-gram|Statistical Natural Language Processing
word sense disambiguation|http://dbpedia.org/resource/Word-sense_disambiguation|Statistical Natural Language Processing
part-of-speech tagging|http://dbpedia.org/resource/Part-of-speech_tagging|Statistical Natural Language Processing
parsing|http://dbpedia.org/resource/Parsing|Statistical Natural Language Processing
Information Retrieval|http://dbpedia.org/resource/Information_retrieval|Information Retrieval and Web Search
Boolean|http://dbpedia.org/resource/Boolean_algebra|Information Retrieval and Web Search
vector space|http://dbpedia.org/resource/Vector_space|Information Retrieval and Web Search
Tokenization|http://dbpedia.org/resource/Lexical_analysis|Information Retrieval and Web Search
Weighting|http://dbpedia.org/resource/Weighting|Information Retrieval and Web Search
Relevance feedback|http://dbpedia.org/resource/Relevance_feedback|Information Retrieval and Web Search
query expansion|http://dbpedia.org/resource/Query_expansion|Information Retrieval and Web Search
XML|http://dbpedia.org/resource/XML|Information Retrieval and Web Search
link analysis|http://dbpedia.org/resource/Link_analysis|Information Retrieval and Web Search
PageRank|http://dbpedia.org/resource/PageRank|Information Retrieval and Web Search
algorithm|http://dbpedia.org/resource/Algorithm|Information Retrieval and Web Search
spam filtering|http://dbpedia.org/resource/Anti-spam_techniques|Information Retrieval and Web Search
Bioinformatics|http://dbpedia.org/resource/Bioinformatics|Bioinformatics Algorithms
bioinformatics|http://dbpedia.org/resource/Bioinformatics|Bioinformatics Algorithms
sequence alignment|http://dbpedia.org/resource/Multiple_sequence_alignment|Bioinformatics Algorithms
multiple sequence alignment|http://dbpedia.org/resource/Multiple_sequence_alignment|Bioinformatics Algorithms
phylogeny|http://dbpedia.org/resource/Phylogenetic_tree|Bioinformatics Algorithms
secondary structure prediction|http://dbpedia.org/resource/Protein_structure_prediction|Bioinformatics Algorithms
3D|http://dbpedia.org/resource/Three-dimensional_space|Bioinformatics Algorithms
gene|http://dbpedia.org/resource/Gene|Bioinformatics Algorithms
expression|http://dbpedia.org/resource/Gene_expression|Bioinformatics Algorithms
dynamic programming|http://dbpedia.org/resource/Dynamic_programming|Bioinformatics Algorithms
machine learning|http://dbpedia.org/resource/Machine_learning|Bioinformatics Algorithms
simulated annealing|http://dbpedia.org/resource/Simulated_annealing|Bioinformatics Algorithms
Bioinformatics|http://dbpedia.org/resource/Bioinformatics|Bioinformatics Databases and Systems
bioinformatics|http://dbpedia.org/resource/Bioinformatics|Bioinformatics Databases and Systems
data management|http://dbpedia.org/resource/Data_management|Bioinformatics Databases and Systems
knowledge management|http://dbpedia.org/resource/Knowledge_management|Bioinformatics Databases and Systems
database|http://dbpedia.org/resource/Database|Bioinformatics Databases and Systems
Computer Science|http://dbpedia.org/resource/Computer_science|Topics in Computer Science I
COMP|http://dbpedia.org/resource/College_of_Osteopathic_Medicine_of_the_Pacific|Topics in Computer Science I
Computer Science|http://dbpedia.org/resource/Computer_science|Graduate Seminar in Computer Science
pass/fail|http://dbpedia.org/resource/Failure|Graduate Seminar in Computer Science
Applied Computer Science|http://dbpedia.org/resource/Computer_science|Project and Report
SOEN|http://dbpedia.org/resource/Soen|Project and Report
memory|http://dbpedia.org/resource/Computer_memory|Parallel Algorithms and Architectures
complexity analysis|http://dbpedia.org/resource/Analysis_of_algorithms|Parallel Algorithms and Architectures
mobile computing|http://dbpedia.org/resource/Mobile_computing|Mobile Computing and Wireless Networks
wireless|http://dbpedia.org/resource/Wireless_LAN|Mobile Computing and Wireless Networks
PAN|http://dbpedia.org/resource/Personal_area_network|Mobile Computing and Wireless Networks
MAN|http://dbpedia.org/resource/Metropolitan_area_network|Mobile Computing and Wireless Networks
sensor networks|http://dbpedia.org/resource/Wireless_sensor_network|Mobile Computing and Wireless Networks
topology|http://dbpedia.org/resource/Network_topology|Mobile Computing and Wireless Networks
Semantics|http://dbpedia.org/resource/Semantics|Semantics of Programming Languages
COMP|http://dbpedia.org/resource/College_of_Osteopathic_Medicine_of_the_Pacific|Semantics of Programming Languages
semantic|http://dbpedia.org/resource/Semantics|Semantics of Programming Languages
semantics|http://dbpedia.org/resource/Semantics|Semantics of Programming Languages
model-theoretic|http://dbpedia.org/resource/Model_theory|Semantics of Programming Languages
logic|http://dbpedia.org/resource/Logic|Semantics of Programming Languages
temporal logic|http://dbpedia.org/resource/Temporal_logic|Semantics of Programming Languages
distributed systems|http://dbpedia.org/resource/Distributed_computing|Semantics of Programming Languages
Cryptography|http://dbpedia.org/resource/Cryptography|Cryptography and Data Security
COMP|http://dbpedia.org/resource/College_of_Osteopathic_Medicine_of_the_Pacific|Cryptography and Data Security
cryptography|http://dbpedia.org/resource/Cryptography|Cryptography and Data Security
Information theory|http://dbpedia.org/resource/Information_theory|Cryptography and Data Security
symmetric-key|http://dbpedia.org/resource/Symmetric-key_algorithm|Cryptography and Data Security
cryptographic|http://dbpedia.org/resource/Cryptography|Cryptography and Data Security
Advanced Encryption Standard|http://dbpedia.org/resource/Advanced_Encryption_Standard|Cryptography and Data Security
Rijndael|http://dbpedia.org/resource/Advanced_Encryption_Standard|Cryptography and Data Security
Cryptographic hash functions|http://dbpedia.org/resource/Cryptographic_hash_function|Cryptography and Data Security
authentication|http://dbpedia.org/resource/Authentication|Cryptography and Data Security
data integrity|http://dbpedia.org/resource/Data_integrity|Cryptography and Data Security
Key distribution|http://dbpedia.org/resource/Key_distribution|Cryptography and Data Security
confidentiality|http://dbpedia.org/resource/Confidentiality|Cryptography and Data Security
access control|http://dbpedia.org/resource/Access_control|Cryptography and Data Security
non-repudiation|http://dbpedia.org/resource/Non-repudiation|Cryptography and Data Security
encryption|http://dbpedia.org/resource/Public-key_cryptography|Cryptography and Data Security
digital|http://dbpedia.org/resource/Digital_data|Cryptography and Data Security
challenge-response authentication|http://dbpedia.org/resource/Challenge–response_authentication|Cryptography and Data Security
optimization|http://dbpedia.org/resource/Query_optimization|Database Systems Principles
Incomplete|http://dbpedia.org/resource/Incomplete_(Backstreet_Boys_song)|Database Systems Principles
COMP|http://dbpedia.org/resource/College_of_Osteopathic_Medicine_of_the_Pacific|Advanced Analysis of Algorithms
Amortized analysis|http://dbpedia.org/resource/Amortized_analysis|Advanced Analysis of Algorithms
COMP|http://dbpedia.org/resource/College_of_Osteopathic_Medicine_of_the_Pacific|Advanced Rendering and Animation
computer graphics|http://dbpedia.org/resource/Computer_graphics|Advanced Rendering and Animation
cinema|http://dbpedia.org/resource/Movie_theater|Advanced Rendering and Animation
Pattern Recognition|http://dbpedia.org/resource/Pattern_recognition|Advanced Pattern Recognition
Pattern recognition|http://dbpedia.org/resource/Pattern_recognition|Advanced Pattern Recognition
data acquisition|http://dbpedia.org/resource/Data_acquisition|Advanced Pattern Recognition
feature extraction|http://dbpedia.org/resource/Feature_extraction|Advanced Pattern Recognition
principal component analysis|http://dbpedia.org/resource/Principal_component_analysis|Advanced Pattern Recognition
expert systems|http://dbpedia.org/resource/Expert_system|Advanced Pattern Recognition
neural networks|http://dbpedia.org/resource/Artificial_neural_network|Advanced Pattern Recognition
pattern recognition|http://dbpedia.org/resource/Pattern_recognition|Advanced Pattern Recognition
image processing|http://dbpedia.org/resource/Digital_image_processing|Advanced Image Processing
morphological|http://dbpedia.org/resource/Shape|Advanced Image Processing
wavelet|http://dbpedia.org/resource/Wavelet|Advanced Image Processing
multi-resolution analysis|http://dbpedia.org/resource/Multiresolution_analysis|Advanced Image Processing
partial differential equation|http://dbpedia.org/resource/Partial_differential_equation|Advanced Image Processing
variational methods|http://dbpedia.org/resource/Calculus_of_variations|Advanced Image Processing
diffusion|http://dbpedia.org/resource/Diffusion_equation|Advanced Image Processing
Markov random field|http://dbpedia.org/resource/Markov_random_field|Advanced Image Processing
Bayesian inference|http://dbpedia.org/resource/Bayesian_inference|Advanced Image Processing
energy|http://dbpedia.org/resource/Energy|Advanced Image Processing
level set method|http://dbpedia.org/resource/Level-set_method|Advanced Image Processing
inpainting|http://dbpedia.org/resource/Inpainting|Advanced Image Processing
Computer Science|http://dbpedia.org/resource/Computer_science|Topics in Computer Science II
COMP|http://dbpedia.org/resource/College_of_Osteopathic_Medicine_of_the_Pacific|Topics in Computer Science II
Software Engineering|http://dbpedia.org/resource/Software_engineering|Software Engineering Processes
software engineering|http://dbpedia.org/resource/Software_engineering|Software Engineering Processes
Version control|http://dbpedia.org/resource/Version_control|Software Engineering Processes
code review|http://dbpedia.org/resource/Code_review|Software Engineering Processes
Continuous integration|http://dbpedia.org/resource/Continuous_integration|Software Engineering Processes
open source|http://dbpedia.org/resource/Open-source_model|Software Engineering Processes
SOEN|http://dbpedia.org/resource/Soen|Software Re-engineering
reengineering|http://dbpedia.org/resource/Code_refactoring|Software Re-engineering
software metrics|http://dbpedia.org/resource/Software_metric|Software Re-engineering
System analysis|http://dbpedia.org/resource/System_analysis|Semantic Computing
semantic|http://dbpedia.org/resource/Semantic_Web|Semantic Computing
Text Mining|http://dbpedia.org/resource/Text_mining|Semantic Computing
Collaborative Filtering|http://dbpedia.org/resource/Collaborative_filtering|Semantic Computing
Blogosphere|http://dbpedia.org/resource/Blogosphere|Semantic Computing
Machine Learning|http://dbpedia.org/resource/Machine_learning|Semantic Computing
The Web|http://dbpedia.org/resource/World_Wide_Web|Semantic Computing
Semantic Web|http://dbpedia.org/resource/Semantic_Web|Semantic Computing
RDF|http://dbpedia.org/resource/Resource_Description_Framework|Semantic Computing
RDFS|http://dbpedia.org/resource/RDF_Schema|Semantic Computing
SPARQL|http://dbpedia.org/resource/SPARQL|Semantic Computing
Linked Open Data|http://dbpedia.org/resource/Linked_data|Semantic Computing
LOD|http://dbpedia.org/resource/Linked_data|Semantic Computing
Ontologies|http://dbpedia.org/resource/Ontology|Semantic Computing
software development|http://dbpedia.org/resource/Software_development|Semantic Computing
business intelligence|http://dbpedia.org/resource/Business_intelligence|Semantic Computing
e-commerce|http://dbpedia.org/resource/E-commerce|Semantic Computing
e-science|http://dbpedia.org/resource/E-Science|Semantic Computing
SOEN|http://dbpedia.org/resource/Soen|Semantic Computing
Formal Methods|http://dbpedia.org/resource/Formal_methods|Formal Methods
formal methods|http://dbpedia.org/resource/Formal_methods|Formal Methods
software life-cycle|http://dbpedia.org/resource/Software_release_life_cycle|Formal Methods
process model|http://dbpedia.org/resource/Software_development_process|Formal Methods
formal specification|http://dbpedia.org/resource/Formal_specification|Formal Methods
finite-state|http://dbpedia.org/resource/Finite-state_machine|Formal Methods
Software development|http://dbpedia.org/resource/Software_development|Formal Methods
type checking|http://dbpedia.org/resource/Type_system|Formal Methods
debugging|http://dbpedia.org/resource/Debugging|Formal Methods
code generation|http://dbpedia.org/resource/Automatic_programming|Formal Methods
software maintenance|http://dbpedia.org/resource/Software_maintenance|Software Comprehension and Maintenance
cognitive|http://dbpedia.org/resource/Cognition|Software Comprehension and Maintenance
software visualization|http://dbpedia.org/resource/Software_visualization|Software Comprehension and Maintenance
CASE|http://dbpedia.org/resource/Computer-aided_software_engineering|Software Comprehension and Maintenance
reverse engineering|http://dbpedia.org/resource/Reverse_engineering|Software Comprehension and Maintenance
code analysis|http://dbpedia.org/resource/Static_program_analysis|Software Comprehension and Maintenance
software configuration management|http://dbpedia.org/resource/Software_configuration_management|Software Comprehension and Maintenance
